id,Name,Lat,Long,Lat/Long,Price,boro_name,shape_area,shape_leng,boro_code
165,STAR GOURMET DELI & PIZZA 797 6 AVENUE New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$3.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
174,NORTH VILLAGE DELI EMPORIUM 74 8 AVENUE New York NY 10011,40.746496899999997,-74.009447100000003,"{lng=-74.0094471, lat=40.7464969}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
175,COLOMBUS AVE DELI & COFE 556 COLUMBUS AVENUE New York NY 10024,40.787162799999997,-73.971968399999994,"{lng=-73.9719684, lat=40.7871628}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
176,TAZA CAFE AND DELI 350 PARK AVENUE SOUTH New York NY 10010,40.741819999999997,-73.985529000000000,"{lng=-73.985529, lat=40.74182}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
178,CAFE BONJOUR DELI & PIZZA 18 WEST 38 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
180,DOMINICKS DELI 1109 1 AVENUE New York NY 10065,40.764523900000000,-73.962432699999994,"{lng=-73.96243270000001, lat=40.7645239}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
183,PLAZA DELI 127 JOHN STREET New York NY 10038,40.707360999999999,-74.004761999999999,"{lng=-74.004762, lat=40.707361}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
184,TERRACE VIEW DELI 135 TERRACE VIEW AVENUE New York NY 10463,40.875990999999999,-73.913200000000003,"{lng=-73.9132, lat=40.875991}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
185,DELIGHT 28 RESTAURANT 2830 PELL STREET New York NY 10013,40.714806400000001,-73.998033100000001,"{lng=-73.9980331, lat=40.7148064}",$3.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
187,2ND AVENUE DELI 162 EAST 33 STREET New York NY 10016,40.747270000000000,-73.980064499999997,"{lng=-73.9800645, lat=40.74727}",$3.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
195,CIVIC DELI 111 WORTH STREET New York NY 10013,40.716011700000003,-74.003490600000006,"{lng=-74.00349059999999, lat=40.7160117}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
196,AL'S DELI 458 7 AVENUE New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$5.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
197,TRADER'S EXPRESS DELI 22 BEAVER STREET New York NY 10004,40.704813000000001,-74.012193199999999,"{lng=-74.0121932, lat=40.704813}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
198,DESI DELI PUNJABI DHABA 724 10 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
199,EL BARRIO JUICE BAR DELI 308 EAST 116 STREET New York NY 10029,40.791640700000002,-73.944799399999994,"{lng=-73.9447994, lat=40.79164069999999}",$3.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
206,BINGO DELI 77 PEARL STREET New York NY 10004,40.704080500000003,-74.010505100000003,"{lng=-74.0105051, lat=40.7040805}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
207,SHANGRI-LA DELI 228 FORT WASHINGTON AVENUE New York NY 10032,40.842961099999997,-73.941967800000000,"{lng=-73.9419678, lat=40.8429611}",$4.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
209,GARDENIA GROCERY & DELI 404 8 AVENUE New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
210,BLACKSMITH CAFE & DELICATESSEN 20 WEST 37 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$6.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
213,HUNTER DELI 966 LEXINGTON AVENUE New York NY 10021,40.769458700000001,-73.963198000000006,"{lng=-73.96319799999999, lat=40.7694587}",$4.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
215,STAGE STAR DELI 105 WEST 55 STREET New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$5.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
221,SUSHI DELIGHT 157 HESTER STREET New York NY 10013,40.717449999999999,-73.995996099999999,"{lng=-73.9959961, lat=40.71745}",$3.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
222,JOHAL DELI 945 COLUMBUS AVENUE New York NY 10025,40.799405399999998,-73.962364300000004,"{lng=-73.96236429999999, lat=40.7994054}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
223,BUNNY DELI 1522 ST NICHOLAS AVENUE New York NY 10033,40.852453900000000,-73.931230499999998,"{lng=-73.9312305, lat=40.8524539}",$4.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
225,MEI SIN DELI & GROCERY 3712 ALLEN STREET New York NY 10002,40.718728300000002,-73.990774799999997,"{lng=-73.9907748, lat=40.7187283}",$5.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
230,DELICIAS MEXICANAS 2109 3 AVENUE New York NY 10029,40.791640700000002,-73.944799399999994,"{lng=-73.9447994, lat=40.79164069999999}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
232,NO HO JUICE BAR & DELI 208 MERCER STREET New York NY 10012,40.726602399999997,-73.996582000000004,"{lng=-73.996582, lat=40.7266024}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
234,BOMBAY DELI PIZZA & TANDOORI RESTAURANT 367 WEST 36 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
235,1694 GOURMET DELI & GRILL 1694 PARK AVENUE New York NY 10035,40.801304199999997,-73.942236699999995,"{lng=-73.9422367, lat=40.8013042}",$3.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
236,BLOOMS DELICATESSEN AND RESTAURANT 124 EAST 40 STREET New York NY 10016,40.747270000000000,-73.980064499999997,"{lng=-73.9800645, lat=40.74727}",$3.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
238,URIS DELI (URIS HALL) MAIN CAMPUS 411 WEST 116 STREET New York NY 10027,40.813891200000000,-73.962432699999994,"{lng=-73.96243270000001, lat=40.8138912}",$5.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
241,E Z DELI 1625 BROADWAY New York NY 10019,40.761269599999999,-73.984413000000004,"{lng=-73.984413, lat=40.7612696}",$4.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
245,GARDEN CITY DELI 607 9 AVENUE New York NY 10036,40.760261900000003,-73.993287199999997,"{lng=-73.9932872, lat=40.7602619}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
246,IMPRESS DELI 401 EAST 34 STREET New York NY 10016,40.747270000000000,-73.980064499999997,"{lng=-73.9800645, lat=40.74727}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
248,DELISSIMO DELI & CAFE 39 EAST 60 STREET New York NY 10022,40.759394100000002,-73.969779500000001,"{lng=-73.9697795, lat=40.7593941}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
254,DELICATESSEN MACBAR 54 PRINCE ST New York NY 10012,40.723460000000003,-73.996311800000001,"{lng=-73.9963118, lat=40.72346}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
258,CHRIST COFFEE SHOP & DELI 500 WEST 168 STREET New York NY 10032,40.840982199999999,-73.944799399999994,"{lng=-73.9447994, lat=40.8409822}",$3.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
262,876 MARKET DELI 876 6 AVENUE New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
264,ANGELA'S ROCK AND ROLL DELI 1428 6 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$4.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
266,ROGER DELI HOUSE 1490 MADISON AVENUE New York NY 10029,40.791365900000002,-73.951553000000004,"{lng=-73.95155299999999, lat=40.7913659}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
270,ARTIE'S DELICATESSEN 2290 BROADWAY New York NY 10024,40.786036500000002,-73.977900800000000,"{lng=-73.9779008, lat=40.7860365}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
274,BALILO DELI 837 11 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$3.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
